id_venta,fecha_venta,hora_venta,producto,categoria_producto,cantidad,precio_unitario,total_venta,local,canal_venta,cliente_frecuente,medio_pago,estado_inventario,margen_utilidad_porcentual,formalizado,tipo_turno,aporte_social,latitud,longitud
512,2025-02-06,16:00,Muffin,Panaderia,1,4200,4200,Fontibon,Presencial,No,Nequi,"8 kg cafe, 4 litros leche",24.47,Si,Tarde,0.0,4.68,-74.15
513,2024-07-02,15:30,Latte,Bebida Caliente,4,6500,26000,Chapinero,Presencial,No,Nequi,"15 kg cafe, 6 litros leche",29.59,Si,Manana,2.0,4.645,-74.057
514,2023-07-14,20:00,Croissant,Panaderia,2,4000,8000,Suba,Online,No,Tarjeta Debito,"6 kg cafe, 9 litros leche",49.79,Si,Manana,0.5,4.755,-74.09
515,2023-11-17,09:45,Te Chai,Bebida Caliente,3,5500,16500,Usaquen,Presencial,No,Tarjeta Debito,"17 kg cafe, 10 litros leche",22.74,Si,Noche,1.0,4.702,-74.03
516,2023-08-31,17:15,Cafe Americano,Bebida Caliente,2,5000,10000,Chapinero,Presencial,Si,Efectivo,"9 kg cafe, 8 litros leche",22.86,Si,Tarde,0.0,4.645,-74.057
517,2025-05-23,11:30,Cafe Americano,Bebida Caliente,3,5000,15000,Suba,Presencial,Si,Nequi,"11 kg cafe, 2 litros leche",32.66,Si,Noche,0.0,4.755,-74.09
518,2024-05-20,20:00,Croissant,Panaderia,2,4000,8000,Usaquen,Presencial,No,Nequi,"20 kg cafe, 1 litros leche",47.97,Si,Manana,0.0,4.702,-74.03
519,2024-08-19,07:30,Muffin,Panaderia,2,4200,8400,Usaquen,Presencial,No,Tarjeta Credito,"13 kg cafe, 6 litros leche",30.58,No,Tarde,0.0,4.702,-74.03
520,2024-09-23,10:30,Capuchino,Bebida Caliente,3,6000,18000,Usaquen,Presencial,No,Tarjeta Debito,"16 kg cafe, 4 litros leche",56.0,Si,Manana,0.0,4.702,-74.03
521,2024-01-22,18:00,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,No,Tarjeta Debito,"17 kg cafe, 5 litros leche",24.0,Si,Noche,1.0,4.645,-74.057
522,2023-04-01,15:45,Agua,Bebida Fria,1,3000,3000,Usaquen,Presencial,No,Nequi,"8 kg cafe, 5 litros leche",39.48,Si,Noche,0.0,4.702,-74.03
523,2025-02-08,07:15,Latte,Bebida Caliente,4,6500,26000,Chapinero,Online,Si,Tarjeta Debito,"9 kg cafe, 6 litros leche",52.99,Si,Manana,0.0,4.645,-74.057
524,2023-05-17,13:00,Te Chai,Bebida Caliente,3,5500,16500,Suba,Presencial,No,Efectivo,"10 kg cafe, 4 litros leche",39.17,Si,Manana,0.0,4.755,-74.09
525,2023-01-01,15:45,Croissant,Panaderia,1,4000,4000,Suba,Presencial,No,Nequi,"7 kg cafe, 5 litros leche",45.81,Si,Tarde,0.0,4.755,-74.09
526,2024-12-31,13:15,Capuchino,Bebida Caliente,1,6000,6000,Fontibon,Online,No,Tarjeta Debito,"4 kg cafe, 3 litros leche",32.58,Si,Manana,0.0,4.68,-74.15
527,2024-04-14,18:45,Cafe Americano,Bebida Caliente,1,5000,5000,Chapinero,Presencial,Si,Efectivo,"5 kg cafe, 8 litros leche",24.57,Si,Tarde,0.0,4.645,-74.057
528,2023-04-29,12:00,Agua,Bebida Fria,3,3000,9000,Engativa,Online,No,Nequi,"18 kg cafe, 7 litros leche",57.79,Si,Manana,0.0,4.7,-74.1
529,2023-11-29,19:00,Croissant,Panaderia,4,4000,16000,Chapinero,Presencial,No,Nequi,"1 kg cafe, 3 litros leche",32.56,Si,Noche,0.0,4.645,-74.057
530,2025-02-24,12:30,Agua,Bebida Fria,4,3000,12000,Chapinero,Presencial,No,Efectivo,"19 kg cafe, 10 litros leche",23.68,Si,Noche,0.0,4.645,-74.057
531,2023-05-06,06:30,Croissant,Panaderia,4,4000,16000,Suba,Presencial,Si,Tarjeta Credito,"12 kg cafe, 10 litros leche",50.77,Si,Tarde,0.0,4.755,-74.09
532,2023-12-11,11:30,Latte,Bebida Caliente,3,6500,19500,Suba,Online,No,Tarjeta Credito,"9 kg cafe, 5 litros leche",21.28,Si,Tarde,0.0,4.755,-74.09
533,2025-05-13,10:45,Capuchino,Bebida Caliente,1,6000,6000,Chapinero,Online,No,Efectivo,"15 kg cafe, 6 litros leche",59.68,Si,Tarde,1.0,4.645,-74.057
534,2023-12-20,18:30,Cafe Americano,Bebida Caliente,2,5000,10000,Suba,Presencial,No,Nequi,"3 kg cafe, 9 litros leche",28.33,Si,Noche,0.0,4.755,-74.09
535,2025-03-05,09:45,Muffin,Panaderia,1,4200,4200,Engativa,Online,No,Efectivo,"9 kg cafe, 2 litros leche",38.27,Si,Noche,0.5,4.7,-74.1
536,2025-01-07,17:00,Te Chai,Bebida Caliente,4,5500,22000,Engativa,Presencial,No,Tarjeta Credito,"3 kg cafe, 1 litros leche",57.13,Si,Noche,2.0,4.7,-74.1
537,2024-06-22,10:00,Latte,Bebida Caliente,4,6500,26000,Suba,Online,Si,Tarjeta Debito,"14 kg cafe, 9 litros leche",21.91,Si,Tarde,0.0,4.755,-74.09
538,2024-06-08,20:15,Cafe Americano,Bebida Caliente,2,5000,10000,Usaquen,Presencial,Si,Efectivo,"7 kg cafe, 1 litros leche",28.95,Si,Manana,0.0,4.702,-74.03
539,2024-02-22,13:45,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,Si,Tarjeta Credito,"3 kg cafe, 5 litros leche",32.67,Si,Manana,0.0,4.645,-74.057
540,2023-08-09,20:30,Cafe Americano,Bebida Caliente,1,5000,5000,Engativa,Presencial,No,Tarjeta Credito,"4 kg cafe, 6 litros leche",35.65,Si,Noche,0.0,4.7,-74.1
541,2025-03-06,17:45,Cafe Americano,Bebida Caliente,1,5000,5000,Engativa,Presencial,Si,Efectivo,"14 kg cafe, 5 litros leche",50.03,Si,Manana,0.0,4.7,-74.1
542,2023-06-23,15:00,Sandwich,Otros,1,7000,7000,Chapinero,Presencial,No,Tarjeta Credito,"8 kg cafe, 5 litros leche",44.23,Si,Noche,0.0,4.645,-74.057
543,2024-08-13,14:15,Cafe Americano,Bebida Caliente,3,5000,15000,Usaquen,Online,Si,Nequi,"9 kg cafe, 2 litros leche",34.37,Si,Tarde,0.0,4.702,-74.03
544,2024-11-29,13:45,Cafe Americano,Bebida Caliente,1,5000,5000,Chapinero,Presencial,Si,Efectivo,"7 kg cafe, 5 litros leche",54.46,Si,Tarde,0.0,4.645,-74.057
545,2025-02-04,11:15,Croissant,Panaderia,4,4000,16000,Engativa,Presencial,No,Nequi,"20 kg cafe, 5 litros leche",25.84,Si,Noche,0.0,4.7,-74.1
546,2024-10-15,08:30,Sandwich,Otros,4,7000,28000,Usaquen,Presencial,No,Tarjeta Credito,"13 kg cafe, 1 litros leche",46.34,Si,Tarde,0.0,4.702,-74.03
547,2024-02-16,13:15,Capuchino,Bebida Caliente,4,6000,24000,Chapinero,Presencial,No,Tarjeta Debito,"15 kg cafe, 5 litros leche",51.89,Si,Manana,1.0,4.645,-74.057
548,2023-10-22,17:15,Capuchino,Bebida Caliente,1,6000,6000,Engativa,Presencial,Si,Tarjeta Debito,"6 kg cafe, 6 litros leche",25.17,Si,Tarde,0.0,4.7,-74.1
549,2023-09-16,07:15,Croissant,Panaderia,2,4000,8000,Suba,Presencial,No,Efectivo,"6 kg cafe, 4 litros leche",33.94,No,Tarde,0.5,4.755,-74.09
550,2023-02-28,14:15,Latte,Bebida Caliente,2,6500,13000,Engativa,Presencial,No,Nequi,"2 kg cafe, 8 litros leche",30.96,Si,Manana,0.0,4.7,-74.1
551,2024-06-01,13:15,Capuchino,Bebida Caliente,3,6000,18000,Suba,Online,No,Tarjeta Credito,"10 kg cafe, 5 litros leche",41.63,Si,Noche,0.0,4.755,-74.09
552,2023-01-17,08:30,Croissant,Panaderia,4,4000,16000,Usaquen,Presencial,No,Nequi,"8 kg cafe, 9 litros leche",58.79,Si,Tarde,0.0,4.702,-74.03
553,2024-02-25,06:00,Latte,Bebida Caliente,4,6500,26000,Usaquen,Presencial,Si,Nequi,"11 kg cafe, 10 litros leche",52.98,Si,Noche,0.0,4.702,-74.03
554,2023-12-20,19:15,Agua,Bebida Fria,3,3000,9000,Fontibon,Presencial,No,Nequi,"4 kg cafe, 7 litros leche",55.8,Si,Noche,0.0,4.68,-74.15
555,2023-06-01,09:15,Capuchino,Bebida Caliente,3,6000,18000,Fontibon,Presencial,No,Tarjeta Debito,"3 kg cafe, 6 litros leche",46.11,No,Manana,1.0,4.68,-74.15
556,2023-01-05,07:15,Cafe Americano,Bebida Caliente,3,5000,15000,Engativa,Presencial,Si,Tarjeta Credito,"13 kg cafe, 9 litros leche",58.52,Si,Manana,0.0,4.7,-74.1
557,2024-09-27,19:15,Capuchino,Bebida Caliente,2,6000,12000,Chapinero,Presencial,No,Efectivo,"14 kg cafe, 9 litros leche",43.65,Si,Tarde,0.0,4.645,-74.057
558,2025-02-21,16:00,Cafe Americano,Bebida Caliente,4,5000,20000,Suba,Online,No,Tarjeta Debito,"3 kg cafe, 7 litros leche",22.97,No,Tarde,0.0,4.755,-74.09
559,2023-01-20,13:00,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,No,Tarjeta Credito,"3 kg cafe, 5 litros leche",23.14,Si,Noche,0.0,4.645,-74.057
560,2024-07-18,09:00,Capuchino,Bebida Caliente,3,6000,18000,Engativa,Presencial,No,Tarjeta Credito,"5 kg cafe, 6 litros leche",45.9,Si,Tarde,0.0,4.7,-74.1
561,2025-02-21,19:00,Te Chai,Bebida Caliente,4,5500,22000,Chapinero,Online,No,Tarjeta Credito,"18 kg cafe, 10 litros leche",45.76,Si,Tarde,0.0,4.645,-74.057
562,2024-06-23,10:15,Cafe Americano,Bebida Caliente,4,5000,20000,Usaquen,Online,No,Tarjeta Debito,"1 kg cafe, 7 litros leche",53.73,Si,Noche,0.0,4.702,-74.03
563,2023-12-20,14:00,Latte,Bebida Caliente,2,6500,13000,Suba,Presencial,Si,Tarjeta Credito,"19 kg cafe, 8 litros leche",53.93,Si,Noche,0.0,4.755,-74.09
564,2023-08-02,11:15,Capuchino,Bebida Caliente,1,6000,6000,Usaquen,Online,No,Tarjeta Debito,"2 kg cafe, 10 litros leche",46.46,Si,Tarde,0.0,4.702,-74.03
565,2024-08-24,13:30,Latte,Bebida Caliente,1,6500,6500,Fontibon,Presencial,No,Tarjeta Credito,"2 kg cafe, 3 litros leche",36.9,Si,Manana,0.0,4.68,-74.15
566,2024-03-10,16:15,Cafe Americano,Bebida Caliente,2,5000,10000,Fontibon,Presencial,No,Efectivo,"6 kg cafe, 2 litros leche",42.58,Si,Noche,0.0,4.68,-74.15
567,2024-11-21,18:30,Latte,Bebida Caliente,4,6500,26000,Chapinero,Presencial,Si,Tarjeta Debito,"16 kg cafe, 7 litros leche",46.47,Si,Noche,0.0,4.645,-74.057
568,2023-10-26,13:30,Te Chai,Bebida Caliente,2,5500,11000,Suba,Online,Si,Tarjeta Credito,"11 kg cafe, 8 litros leche",53.05,Si,Tarde,0.0,4.755,-74.09
569,2024-09-18,15:30,Capuchino,Bebida Caliente,4,6000,24000,Chapinero,Presencial,No,Efectivo,"14 kg cafe, 8 litros leche",58.27,Si,Noche,0.0,4.645,-74.057
570,2023-09-28,07:45,Latte,Bebida Caliente,4,6500,26000,Chapinero,Online,No,Tarjeta Debito,"4 kg cafe, 1 litros leche",55.85,No,Manana,0.0,4.645,-74.057
571,2023-10-07,11:15,Cafe Americano,Bebida Caliente,2,5000,10000,Suba,Online,Si,Tarjeta Credito,"15 kg cafe, 4 litros leche",56.17,Si,Tarde,0.0,4.755,-74.09
572,2024-09-09,16:45,Cafe Americano,Bebida Caliente,3,5000,15000,Chapinero,Online,Si,Tarjeta Credito,"2 kg cafe, 1 litros leche",24.41,Si,Noche,0.0,4.645,-74.057
573,2023-12-11,14:45,Te Chai,Bebida Caliente,2,5500,11000,Engativa,Online,No,Tarjeta Credito,"16 kg cafe, 6 litros leche",54.83,Si,Manana,0.0,4.7,-74.1
574,2023-04-01,15:15,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,No,Nequi,"8 kg cafe, 7 litros leche",31.81,Si,Manana,0.0,4.645,-74.057
575,2024-12-30,20:00,Cafe Americano,Bebida Caliente,2,5000,10000,Usaquen,Presencial,Si,Efectivo,"11 kg cafe, 6 litros leche",41.15,No,Manana,0.0,4.702,-74.03
576,2025-03-22,17:15,Capuchino,Bebida Caliente,3,6000,18000,Suba,Presencial,No,Efectivo,"6 kg cafe, 10 litros leche",40.75,Si,Noche,0.5,4.755,-74.09
577,2024-01-27,09:30,Capuchino,Bebida Caliente,3,6000,18000,Engativa,Presencial,No,Efectivo,"5 kg cafe, 1 litros leche",32.81,Si,Noche,0.0,4.7,-74.1
578,2023-11-22,12:45,Cafe Americano,Bebida Caliente,1,5000,5000,Suba,Presencial,No,Tarjeta Credito,"3 kg cafe, 6 litros leche",37.25,Si,Noche,0.0,4.755,-74.09
579,2024-01-09,08:30,Te Chai,Bebida Caliente,1,5500,5500,Suba,Online,Si,Tarjeta Debito,"11 kg cafe, 6 litros leche",41.27,Si,Tarde,0.0,4.755,-74.09
580,2023-04-26,19:45,Capuchino,Bebida Caliente,4,6000,24000,Chapinero,Online,Si,Tarjeta Debito,"14 kg cafe, 4 litros leche",31.64,Si,Tarde,0.0,4.645,-74.057
581,2024-10-11,16:00,Cafe Americano,Bebida Caliente,4,5000,20000,Usaquen,Presencial,No,Nequi,"9 kg cafe, 4 litros leche",28.11,Si,Manana,0.0,4.702,-74.03
582,2025-05-05,20:30,Sandwich,Otros,3,7000,21000,Suba,Presencial,Si,Tarjeta Credito,"4 kg cafe, 3 litros leche",42.36,Si,Tarde,0.0,4.755,-74.09
583,2024-05-17,16:15,Latte,Bebida Caliente,3,6500,19500,Usaquen,Presencial,No,Tarjeta Debito,"19 kg cafe, 2 litros leche",21.8,Si,Manana,0.0,4.702,-74.03
584,2024-04-27,18:30,Croissant,Panaderia,4,4000,16000,Chapinero,Online,No,Tarjeta Debito,"1 kg cafe, 7 litros leche",20.22,Si,Manana,0.0,4.645,-74.057
585,2023-03-01,07:30,Muffin,Panaderia,1,4200,4200,Chapinero,Online,Si,Tarjeta Debito,"13 kg cafe, 5 litros leche",35.83,Si,Manana,0.0,4.645,-74.057
586,2024-03-16,07:45,Muffin,Panaderia,4,4200,16800,Chapinero,Presencial,Si,Efectivo,"13 kg cafe, 7 litros leche",55.96,Si,Manana,0.0,4.645,-74.057
587,2024-06-26,17:15,Latte,Bebida Caliente,4,6500,26000,Chapinero,Presencial,Si,Nequi,"19 kg cafe, 10 litros leche",38.92,Si,Noche,0.0,4.645,-74.057
588,2023-11-30,14:15,Capuchino,Bebida Caliente,2,6000,12000,Chapinero,Presencial,No,Efectivo,"15 kg cafe, 9 litros leche",56.89,Si,Tarde,0.0,4.645,-74.057
589,2024-12-04,20:15,Cafe Americano,Bebida Caliente,3,5000,15000,Chapinero,Online,No,Nequi,"7 kg cafe, 9 litros leche",47.06,Si,Tarde,0.0,4.645,-74.057
590,2023-12-24,13:15,Latte,Bebida Caliente,3,6500,19500,Engativa,Online,Si,Tarjeta Credito,"6 kg cafe, 10 litros leche",40.65,No,Manana,0.0,4.7,-74.1
591,2024-10-21,08:45,Muffin,Panaderia,1,4200,4200,Engativa,Presencial,Si,Tarjeta Debito,"11 kg cafe, 10 litros leche",22.87,Si,Tarde,0.0,4.7,-74.1
592,2023-06-20,10:00,Capuchino,Bebida Caliente,3,6000,18000,Chapinero,Presencial,Si,Nequi,"16 kg cafe, 10 litros leche",32.14,Si,Noche,0.0,4.645,-74.057
593,2025-04-13,13:45,Cafe Americano,Bebida Caliente,3,5000,15000,Chapinero,Online,No,Efectivo,"15 kg cafe, 10 litros leche",51.29,Si,Tarde,0.0,4.645,-74.057
594,2025-02-14,15:00,Cafe Americano,Bebida Caliente,2,5000,10000,Usaquen,Presencial,Si,Efectivo,"10 kg cafe, 8 litros leche",39.14,Si,Manana,0.0,4.702,-74.03
595,2023-11-21,07:15,Te Chai,Bebida Caliente,1,5500,5500,Fontibon,Presencial,No,Efectivo,"20 kg cafe, 7 litros leche",36.17,Si,Tarde,0.0,4.68,-74.15
596,2023-07-10,16:00,Agua,Bebida Fria,4,3000,12000,Usaquen,Presencial,No,Tarjeta Credito,"7 kg cafe, 4 litros leche",35.76,No,Manana,0.0,4.702,-74.03
597,2024-01-08,08:45,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,No,Tarjeta Credito,"8 kg cafe, 4 litros leche",34.92,Si,Tarde,0.0,4.645,-74.057
598,2024-04-03,17:30,Latte,Bebida Caliente,1,6500,6500,Chapinero,Online,Si,Efectivo,"20 kg cafe, 8 litros leche",57.87,Si,Noche,0.0,4.645,-74.057
599,2023-01-23,06:00,Croissant,Panaderia,2,4000,8000,Chapinero,Online,Si,Nequi,"1 kg cafe, 3 litros leche",24.86,No,Noche,0.0,4.645,-74.057
600,2024-11-08,18:15,Capuchino,Bebida Caliente,1,6000,6000,Chapinero,Presencial,No,Tarjeta Credito,"10 kg cafe, 1 litros leche",37.8,Si,Noche,0.0,4.645,-74.057
601,2025-01-20,15:00,Cafe Americano,Bebida Caliente,3,5000,15000,Chapinero,Presencial,No,Nequi,"13 kg cafe, 1 litros leche",49.09,No,Manana,2.0,4.645,-74.057
602,2023-11-03,07:45,Latte,Bebida Caliente,3,6500,19500,Chapinero,Presencial,Si,Tarjeta Debito,"5 kg cafe, 8 litros leche",59.04,Si,Tarde,0.0,4.645,-74.057
603,2024-09-17,18:30,Croissant,Panaderia,4,4000,16000,Engativa,Presencial,No,Tarjeta Debito,"10 kg cafe, 10 litros leche",31.1,Si,Tarde,0.0,4.7,-74.1
604,2024-07-08,12:30,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,No,Efectivo,"1 kg cafe, 9 litros leche",43.91,Si,Tarde,0.0,4.645,-74.057
605,2024-02-19,08:15,Agua,Bebida Fria,1,3000,3000,Usaquen,Presencial,Si,Efectivo,"4 kg cafe, 9 litros leche",48.34,Si,Manana,0.0,4.702,-74.03
606,2024-09-22,14:15,Sandwich,Otros,1,7000,7000,Suba,Online,No,Nequi,"12 kg cafe, 4 litros leche",54.36,Si,Tarde,0.5,4.755,-74.09
607,2025-03-01,20:15,Cafe Americano,Bebida Caliente,1,5000,5000,Fontibon,Presencial,Si,Tarjeta Credito,"19 kg cafe, 7 litros leche",37.14,Si,Manana,2.0,4.68,-74.15
608,2025-03-28,13:00,Cafe Americano,Bebida Caliente,2,5000,10000,Fontibon,Presencial,Si,Tarjeta Credito,"12 kg cafe, 6 litros leche",42.56,Si,Tarde,0.0,4.68,-74.15
609,2023-02-06,18:45,Croissant,Panaderia,1,4000,4000,Usaquen,Online,Si,Tarjeta Debito,"3 kg cafe, 6 litros leche",35.14,Si,Manana,0.0,4.702,-74.03
610,2024-08-15,07:15,Latte,Bebida Caliente,2,6500,13000,Chapinero,Presencial,No,Efectivo,"18 kg cafe, 2 litros leche",58.37,Si,Noche,0.0,4.645,-74.057
611,2023-02-13,13:30,Latte,Bebida Caliente,3,6500,19500,Fontibon,Presencial,Si,Efectivo,"3 kg cafe, 1 litros leche",43.15,Si,Manana,0.0,4.68,-74.15
612,2024-05-10,17:45,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,No,Tarjeta Credito,"9 kg cafe, 6 litros leche",41.02,Si,Tarde,0.0,4.645,-74.057
613,2023-11-24,20:45,Muffin,Panaderia,1,4200,4200,Chapinero,Presencial,No,Tarjeta Debito,"5 kg cafe, 5 litros leche",42.87,Si,Tarde,0.0,4.645,-74.057
614,2023-09-18,14:30,Sandwich,Otros,4,7000,28000,Suba,Presencial,No,Tarjeta Debito,"10 kg cafe, 9 litros leche",31.36,Si,Manana,0.5,4.755,-74.09
615,2023-12-07,14:45,Cafe Americano,Bebida Caliente,1,5000,5000,Usaquen,Presencial,No,Tarjeta Credito,"15 kg cafe, 1 litros leche",57.76,Si,Noche,0.0,4.702,-74.03
616,2023-06-20,16:15,Sandwich,Otros,4,7000,28000,Engativa,Presencial,No,Tarjeta Credito,"6 kg cafe, 5 litros leche",35.98,Si,Manana,0.0,4.7,-74.1
617,2023-03-20,10:00,Croissant,Panaderia,2,4000,8000,Fontibon,Presencial,No,Nequi,"3 kg cafe, 2 litros leche",20.39,Si,Manana,0.0,4.68,-74.15
618,2023-12-13,18:30,Muffin,Panaderia,1,4200,4200,Chapinero,Online,Si,Tarjeta Debito,"15 kg cafe, 4 litros leche",27.38,Si,Noche,1.0,4.645,-74.057
619,2025-04-15,19:00,Capuchino,Bebida Caliente,1,6000,6000,Fontibon,Presencial,Si,Efectivo,"9 kg cafe, 9 litros leche",35.03,Si,Manana,0.0,4.68,-74.15
620,2024-02-08,11:00,Latte,Bebida Caliente,3,6500,19500,Chapinero,Online,No,Tarjeta Debito,"15 kg cafe, 4 litros leche",53.22,Si,Tarde,0.0,4.645,-74.057
621,2024-12-23,20:00,Cafe Americano,Bebida Caliente,1,5000,5000,Engativa,Presencial,No,Efectivo,"20 kg cafe, 3 litros leche",45.2,Si,Manana,0.0,4.7,-74.1
622,2023-04-27,14:45,Capuchino,Bebida Caliente,3,6000,18000,Fontibon,Presencial,No,Tarjeta Credito,"10 kg cafe, 1 litros leche",21.16,Si,Manana,0.0,4.68,-74.15
623,2024-02-15,09:15,Capuchino,Bebida Caliente,4,6000,24000,Usaquen,Online,No,Tarjeta Credito,"15 kg cafe, 5 litros leche",45.16,Si,Manana,0.0,4.702,-74.03
624,2023-04-04,12:00,Latte,Bebida Caliente,4,6500,26000,Usaquen,Online,Si,Tarjeta Debito,"16 kg cafe, 4 litros leche",46.46,Si,Noche,0.0,4.702,-74.03
625,2023-05-26,11:45,Capuchino,Bebida Caliente,1,6000,6000,Fontibon,Presencial,No,Tarjeta Debito,"16 kg cafe, 5 litros leche",22.76,Si,Noche,0.5,4.68,-74.15
626,2024-01-14,07:15,Latte,Bebida Caliente,1,6500,6500,Suba,Presencial,No,Tarjeta Credito,"16 kg cafe, 6 litros leche",20.68,Si,Tarde,0.5,4.755,-74.09
627,2024-02-02,07:45,Cafe Americano,Bebida Caliente,4,5000,20000,Suba,Presencial,Si,Nequi,"11 kg cafe, 7 litros leche",43.65,No,Noche,0.0,4.755,-74.09
628,2024-01-27,14:45,Cafe Americano,Bebida Caliente,3,5000,15000,Suba,Presencial,No,Tarjeta Debito,"8 kg cafe, 10 litros leche",52.75,Si,Tarde,0.5,4.755,-74.09
629,2023-09-19,14:00,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,No,Tarjeta Debito,"9 kg cafe, 1 litros leche",54.45,Si,Tarde,0.0,4.645,-74.057
630,2024-06-07,17:30,Capuchino,Bebida Caliente,4,6000,24000,Suba,Presencial,No,Tarjeta Credito,"18 kg cafe, 2 litros leche",35.46,Si,Manana,0.0,4.755,-74.09
631,2023-12-23,17:45,Cafe Americano,Bebida Caliente,1,5000,5000,Fontibon,Presencial,Si,Efectivo,"16 kg cafe, 2 litros leche",29.99,Si,Noche,0.5,4.68,-74.15
632,2025-03-15,18:15,Cafe Americano,Bebida Caliente,3,5000,15000,Fontibon,Online,No,Tarjeta Debito,"4 kg cafe, 1 litros leche",35.51,Si,Manana,0.0,4.68,-74.15
633,2024-11-04,10:15,Latte,Bebida Caliente,2,6500,13000,Engativa,Presencial,No,Tarjeta Debito,"1 kg cafe, 1 litros leche",58.89,Si,Manana,0.0,4.7,-74.1
634,2023-03-10,19:45,Latte,Bebida Caliente,1,6500,6500,Fontibon,Online,No,Efectivo,"13 kg cafe, 7 litros leche",24.83,Si,Manana,0.5,4.68,-74.15
635,2023-05-10,11:45,Cafe Americano,Bebida Caliente,3,5000,15000,Fontibon,Presencial,No,Tarjeta Credito,"18 kg cafe, 8 litros leche",33.21,Si,Tarde,0.5,4.68,-74.15
636,2023-04-06,19:30,Capuchino,Bebida Caliente,2,6000,12000,Chapinero,Presencial,No,Tarjeta Debito,"5 kg cafe, 2 litros leche",21.98,Si,Noche,2.0,4.645,-74.057
637,2023-02-07,16:00,Capuchino,Bebida Caliente,1,6000,6000,Suba,Presencial,No,Tarjeta Credito,"4 kg cafe, 10 litros leche",55.94,Si,Manana,0.0,4.755,-74.09
638,2023-04-08,16:00,Latte,Bebida Caliente,1,6500,6500,Chapinero,Presencial,No,Tarjeta Credito,"6 kg cafe, 5 litros leche",48.18,Si,Tarde,0.5,4.645,-74.057
639,2023-06-14,06:45,Capuchino,Bebida Caliente,4,6000,24000,Chapinero,Presencial,Si,Efectivo,"13 kg cafe, 3 litros leche",31.01,Si,Noche,0.0,4.645,-74.057
640,2023-11-22,18:15,Croissant,Panaderia,2,4000,8000,Usaquen,Online,No,Tarjeta Debito,"8 kg cafe, 6 litros leche",34.79,Si,Tarde,0.5,4.702,-74.03
641,2023-07-12,15:30,Cafe Americano,Bebida Caliente,3,5000,15000,Fontibon,Presencial,No,Efectivo,"17 kg cafe, 6 litros leche",35.14,No,Tarde,0.0,4.68,-74.15
642,2024-04-30,19:45,Cafe Americano,Bebida Caliente,4,5000,20000,Suba,Online,No,Nequi,"18 kg cafe, 3 litros leche",57.46,Si,Tarde,0.0,4.755,-74.09
643,2024-11-13,18:00,Capuchino,Bebida Caliente,1,6000,6000,Engativa,Online,Si,Efectivo,"14 kg cafe, 1 litros leche",51.78,Si,Manana,0.0,4.7,-74.1
644,2023-10-22,20:30,Cafe Americano,Bebida Caliente,3,5000,15000,Chapinero,Presencial,No,Efectivo,"14 kg cafe, 2 litros leche",31.96,No,Tarde,0.0,4.645,-74.057
645,2025-02-27,16:30,Capuchino,Bebida Caliente,1,6000,6000,Chapinero,Presencial,No,Tarjeta Credito,"14 kg cafe, 6 litros leche",50.28,Si,Tarde,0.0,4.645,-74.057
646,2023-01-23,11:15,Croissant,Panaderia,1,4000,4000,Engativa,Presencial,Si,Nequi,"16 kg cafe, 10 litros leche",29.95,Si,Manana,0.0,4.7,-74.1
647,2024-02-10,18:15,Croissant,Panaderia,2,4000,8000,Fontibon,Online,No,Tarjeta Credito,"2 kg cafe, 2 litros leche",50.12,Si,Tarde,2.0,4.68,-74.15
648,2024-10-18,18:00,Capuchino,Bebida Caliente,2,6000,12000,Engativa,Presencial,Si,Nequi,"15 kg cafe, 3 litros leche",31.31,Si,Noche,0.0,4.7,-74.1
649,2024-02-16,06:45,Muffin,Panaderia,3,4200,12600,Chapinero,Presencial,Si,Tarjeta Credito,"11 kg cafe, 6 litros leche",42.48,Si,Manana,0.0,4.645,-74.057
650,2025-05-06,14:45,Capuchino,Bebida Caliente,4,6000,24000,Chapinero,Online,Si,Tarjeta Credito,"17 kg cafe, 5 litros leche",58.61,Si,Noche,0.0,4.645,-74.057
651,2023-08-10,13:30,Cafe Americano,Bebida Caliente,4,5000,20000,Usaquen,Presencial,Si,Efectivo,"6 kg cafe, 6 litros leche",21.82,No,Manana,0.0,4.702,-74.03
652,2024-11-21,19:30,Capuchino,Bebida Caliente,1,6000,6000,Fontibon,Presencial,No,Nequi,"1 kg cafe, 7 litros leche",23.92,Si,Manana,0.0,4.68,-74.15
653,2024-09-02,08:15,Te Chai,Bebida Caliente,4,5500,22000,Chapinero,Online,No,Tarjeta Credito,"6 kg cafe, 5 litros leche",26.97,Si,Manana,0.0,4.645,-74.057
654,2025-03-30,10:15,Capuchino,Bebida Caliente,3,6000,18000,Usaquen,Presencial,No,Tarjeta Credito,"19 kg cafe, 9 litros leche",46.63,Si,Tarde,0.0,4.702,-74.03
